id_requisito;COM;AMB;VER;COR;CON;observaciones
R-001;4;4;4;4;4;""
R-002;5;4;5;4;5;""
R-003;3;3;4;3;3;"Requisito 3: Falta especificar el formato exacto de la salida esperada."
R-004;4;4;4;5;4;""
R-005;5;5;5;5;5;""
R-006;4;4;4;4;4;""
R-007;5;5;4;5;5;""
R-008;3;4;3;4;3;"Requisito 8: La corrección respecto a la fuente parece tener una omisión en el detalle técnico."
R-009;4;4;5;4;4;""
R-010;5;5;5;5;5;""
R-011;4;4;4;4;4;""
R-012;3;3;3;3;3;"Requisito 12: Ambigüedad en el término 'procesamiento avanzado'."
R-013;5;5;5;5;5;""
R-014;4;4;4;4;4;""
R-015;5;5;5;5;5;""
R-016;4;4;4;4;4;""
R-017;3;3;3;3;3;"Requisito 17: La verificabilidad es baja, no se define cómo medir el 'tiempo de respuesta'."
R-018;5;5;5;5;5;""
R-019;4;4;4;4;4;""
R-020;5;5;5;5;5;""
R-021;4;4;4;4;4;""
R-022;3;3;3;3;3;"Requisito 22: Falta definir claramente el alcance de 'análisis de riesgo'."
R-023;5;5;5;5;5;""
R-024;4;4;4;4;4;""
R-025;5;5;5;5;5;""
R-026;4;4;4;4;4;""
R-027;3;3;3;3;3;"Requisito 27: La corrección respecto a la fuente parece omitir un detalle crucial sobre la interfaz."
R-028;5;5;5;5;5;""
R-029;4;4;4;4;4;""
R-030;5;5;5;5;5;""
R-031;4;4;4;4;4;""
R-032;3;3;3;3;3;"Requisito 32: Ambigüedad en 'parámetros de configuración'."
R-033;5;5;5;5;5;""
R-034;4;4;4;4;4;""
R-035;5;5;5;5;5;""
R-036;4;4;4;4;4;""
R-037;3;3;3;3;3;"Requisito 37: La completitud es cuestionable, no detalla el tipo de 'notificaciones'."
R-038;5;5;5;5;5;""
R-039;4;4;4;4;4;""
R-040;5;5;5;5;5;""
R-041;4;4;4;4;4;""
R-042;3;3;3;3;3;"Requisito 42: Verificabilidad baja, no se define cómo medir 'optimización'."
R-043;5;5;5;5;5;""
R-044;4;4;4;4;4;""
R-045;5;5;5;5;5;""
R-046;4;4;4;4;4;""
R-047;3;3;3;3;3;"Requisito 47: Corrección respecto a la fuente parece omitir el rol del supervisor."
R-048;5;5;5;5;5;""
R-049;4;4;4;4;4;""
R-050;5;5;5;5;5;""
