evaluador,requisito,dimension,puntuacion,orden
EV-01,R-001,COM,4,1
EV-01,R-001,AMB,4,1
EV-01,R-001,VER,4,1
EV-01,R-001,COR,4,1
EV-01,R-001,CON,4,1
EV-01,R-002,COM,5,2
EV-01,R-002,AMB,4,2
EV-01,R-002,VER,5,2
EV-01,R-002,COR,4,2
EV-01,R-002,CON,5,2
EV-01,R-003,COM,3,3
EV-01,R-003,AMB,3,3
EV-01,R-003,VER,4,3
EV-01,R-003,COR,3,3
EV-01,R-003,CON,3,3
EV-01,R-004,COM,4,4
EV-01,R-004,AMB,4,4
EV-01,R-004,VER,4,4
EV-01,R-004,COR,5,4
EV-01,R-004,CON,4,4
EV-01,R-005,COM,5,5
EV-01,R-005,AMB,5,5
EV-01,R-005,VER,5,5
EV-01,R-005,COR,5,5
EV-01,R-005,CON,5,5
EV-01,R-006,COM,4,6
EV-01,R-006,AMB,4,6
EV-01,R-006,VER,4,6
EV-01,R-006,COR,4,6
EV-01,R-006,CON,4,6
EV-01,R-007,COM,5,7
EV-01,R-007,AMB,5,7
EV-01,R-007,VER,4,7
EV-01,R-007,COR,5,7
EV-01,R-007,CON,5,7
EV-01,R-008,COM,3,8
EV-01,R-008,AMB,4,8
EV-01,R-008,VER,3,8
EV-01,R-008,COR,4,8
EV-01,R-008,CON,3,8
EV-01,R-009,COM,4,9
EV-01,R-009,AMB,4,9
EV-01,R-009,VER,5,9
EV-01,R-009,COR,4,9
EV-01,R-009,CON,4,9
EV-01,R-010,COM,5,10
EV-01,R-010,AMB,5,10
EV-01,R-010,VER,5,10
EV-01,R-010,COR,5,10
EV-01,R-010,CON,5,10
EV-01,R-011,COM,4,11
EV-01,R-011,AMB,4,11
EV-01,R-011,VER,4,11
EV-01,R-011,COR,4,11
EV-01,R-011,CON,4,11
EV-01,R-012,COM,3,12
EV-01,R-012,AMB,3,12
EV-01,R-012,VER,3,12
EV-01,R-012,COR,3,12
EV-01,R-012,CON,3,12
EV-01,R-013,COM,5,13
EV-01,R-013,AMB,5,13
EV-01,R-013,VER,5,13
EV-01,R-013,COR,5,13
EV-01,R-013,CON,5,13
EV-01,R-014,COM,4,14
EV-01,R-014,AMB,4,14
EV-01,R-014,VER,4,14
EV-01,R-014,COR,4,14
EV-01,R-014,CON,4,14
EV-01,R-015,COM,5,15
EV-01,R-015,AMB,5,15
EV-01,R-015,VER,5,15
EV-01,R-015,COR,5,15
EV-01,R-015,CON,5,15
EV-01,R-016,COM,4,16
EV-01,R-016,AMB,4,16
EV-01,R-016,VER,4,16
EV-01,R-016,COR,4,16
EV-01,R-016,CON,4,16
EV-01,R-017,COM,3,17
EV-01,R-017,AMB,3,17
EV-01,R-017,VER,3,17
EV-01,R-017,COR,3,17
EV-01,R-017,CON,3,17
EV-01,R-018,COM,5,18
EV-01,R-018,AMB,5,18
EV-01,R-018,VER,5,18
EV-01,R-018,COR,5,18
EV-01,R-018,CON,5,18
EV-01,R-019,COM,4,19
EV-01,R-019,AMB,4,19
EV-01,R-019,VER,4,19
EV-01,R-019,COR,4,19
EV-01,R-019,CON,4,19
EV-01,R-020,COM,5,20
EV-01,R-020,AMB,5,20
EV-01,R-020,VER,5,20
EV-01,R-020,COR,5,20
EV-01,R-020,CON,5,20
EV-01,R-021,COM,4,21
EV-01,R-021,AMB,4,21
EV-01,R-021,VER,4,21
EV-01,R-021,COR,4,21
EV-01,R-021,CON,4,21
EV-01,R-022,COM,3,22
EV-01,R-022,AMB,3,22
EV-01,R-022,VER,3,22
EV-01,R-022,COR,3,22
EV-01,R-022,CON,3,22
EV-01,R-023,COM,5,23
EV-01,R-023,AMB,5,23
EV-01,R-023,VER,5,23
EV-01,R-023,COR,5,23
EV-01,R-023,CON,5,23
EV-01,R-024,COM,4,24
EV-01,R-024,AMB,4,24
EV-01,R-024,VER,4,24
EV-01,R-024,COR,4,24
EV-01,R-024,CON,4,24
EV-01,R-025,COM,5,25
EV-01,R-025,AMB,5,25
EV-01,R-025,VER,5,25
EV-01,R-025,COR,5,25
EV-01,R-025,CON,5,25
EV-01,R-026,COM,4,26
EV-01,R-026,AMB,4,26
EV-01,R-026,VER,4,26
EV-01,R-026,COR,4,26
EV-01,R-026,CON,4,26
EV-01,R-027,COM,3,27
EV-01,R-027,AMB,3,27
EV-01,R-027,VER,3,27
EV-01,R-027,COR,3,27
EV-01,R-027,CON,3,27
EV-01,R-028,COM,5,28
EV-01,R-028,AMB,5,28
EV-01,R-028,VER,5,28
EV-01,R-028,COR,5,28
EV-01,R-028,CON,5,28
EV-01,R-029,COM,4,29
EV-01,R-029,AMB,4,29
EV-01,R-029,VER,4,29
EV-01,R-029,COR,4,29
EV-01,R-029,CON,4,29
EV-01,R-030,COM,5,30
EV-01,R-030,AMB,5,30
EV-01,R-030,VER,5,30
EV-01,R-030,COR,5,30
EV-01,R-030,CON,5,30
EV-01,R-031,COM,4,31
EV-01,R-031,AMB,4,31
EV-01,R-031,VER,4,31
EV-01,R-031,COR,4,31
EV-01,R-031,CON,4,31
EV-01,R-032,COM,3,32
EV-01,R-032,AMB,3,32
EV-01,R-032,VER,3,32
EV-01,R-032,COR,3,32
EV-01,R-032,CON,3,32
EV-01,R-033,COM,5,33
EV-01,R-033,AMB,5,33
EV-01,R-033,VER,5,33
EV-01,R-033,COR,5,33
EV-01,R-033,CON,5,33
EV-01,R-034,COM,4,34
EV-01,R-034,AMB,4,34
EV-01,R-034,VER,4,34
EV-01,R-034,COR,4,34
EV-01,R-034,CON,4,34
EV-01,R-035,COM,5,35
EV-01,R-035,AMB,5,35
EV-01,R-035,VER,5,35
EV-01,R-035,COR,5,35
EV-01,R-035,CON,5,35
EV-01,R-036,COM,4,36
EV-01,R-036,AMB,4,36
EV-01,R-036,VER,4,36
EV-01,R-036,COR,4,36
EV-01,R-036,CON,4,36
EV-01,R-037,COM,3,37
EV-01,R-037,AMB,3,37
EV-01,R-037,VER,3,37
EV-01,R-037,COR,3,37
EV-01,R-037,CON,3,37
EV-01,R-038,COM,5,38
EV-01,R-038,AMB,5,38
EV-01,R-038,VER,5,38
EV-01,R-038,COR,5,38
EV-01,R-038,CON,5,38
EV-01,R-039,COM,4,39
EV-01,R-039,AMB,4,39
EV-01,R-039,VER,4,39
