Fragmento;Codigo;Categoria;Requisito_derivado;ID_evidencia;Analista_codificador
El administrador de la hacienda reparte las labores diarias al personal;SUPERVISION_RECORRIDO;Organizacion del trabajo;RF-03;ENTR-09;AVR
El control del trabajo se apoya en conteos de avance para determinar lo realizado y el pago;UNIDAD_DE_AVANCE;Registro operativo;RF-28;ENTR-09;AVR
Se utiliza Avenza Maps para controlar el recorrido del personal;SUPERVISION_RECORRIDO;Organizacion del trabajo;RF-15;ENTR-09;AVR
La herramienta permite marcar en el lote plantas enfermas o novedades;GEORREFERENCIA_INCIDENCIA;Deteccion de afectaciones;RF-30;ENTR-09;AVR
Las novedades de campo se reportan mediante capturas compartidas;EVIDENCIA_FOTOGRAFICA;Deteccion de afectaciones;RF-30;ENTR-09;AVR
Las herramientas nuevas se abandonan cuando el personal no las conoce o no recibe capacitacion;CAPACITACION_USO;Tecnologia;RNF-08;ENTR-09;AVR
El diagnostico por fotografia con inteligencia artificial serviria como apoyo al criterio tecnico;DIAGNOSTICO_POR_IMAGEN;Tecnologia;RF-07;ENTR-09;AVR
La recomendacion automatica debe ayudar a confirmar el problema observado en la planta;RECOMENDACION_ACCIONABLE;Tecnologia;RNF-16;ENTR-09;AVR
Para planificar labores futuras se necesita conocer recorridos y conteos de trabajo realizados;PLANIFICACION_LABORES;Organizacion del trabajo;RF-26;ENTR-09;AVR
Una aplicacion para personal con poca escolaridad debe ser sencilla;USUARIO_NO_EXPERTO;Tecnologia;RNF-08;ENTR-09;AVR
La adopcion de la herramienta requiere capacitacion por parte del responsable de la finca;CAPACITACION_USO;Tecnologia;RNF-08;ENTR-09;AVR
Para organizarse se utilizan aplicaciones informales como notas y mensajeria;CANAL_INFORMAL;Registro operativo;;ENTR-10;AVR
La falta de una herramienta de registro puede provocar olvidos y perdida de informacion;CANAL_INFORMAL;Registro operativo;;ENTR-10;AVR
Para decidir actividades se considera util disponer de pronostico y semana de polinizacion;REGISTRO_CLIMA;Clima;RF-17;ENTR-10;AVR
Para creer una alerta de posible plaga se necesita informacion y fotografias;VERIFICACION_DIAGNOSTICO;Tecnologia;RNF-16;ENTR-10;AVR
Un error de la aplicacion reduce la confianza, que puede recuperarse con resultados posteriores correctos;CONFIANZA_DIAGNOSTICO;Tecnologia;RNF-16;ENTR-10;AVR
El registro GPS del recorrido y las zonas cubiertas se considera util;SUPERVISION_RECORRIDO;Organizacion del trabajo;RF-15;ENTR-10;AVR
Enseñar la herramienta a una persona sin experiencia podria requerir uno o dos dias;CAPACITACION_USO;Tecnologia;RNF-08;ENTR-10;AVR
La primera pantalla debe mostrar las funciones principales y ofrecer ayuda sobre cada modulo;TUTORIAL_GUIADO;Tecnologia;RNF-08;ENTR-10;AVR
Los avisos importantes deben ser especificos y de longitud moderada;RECOMENDACION_ACCIONABLE;Tecnologia;RNF-16;ENTR-10;AVR
Antes de usar funciones como GPS conviene explicar para que sirven;TUTORIAL_GUIADO;Tecnologia;RNF-08;ENTR-10;AVR
En trabajos agricolas el registro diario se realiza en papel;REGISTRO_PAPEL;Registro operativo;RF-04;ENTR-11;AVR
La informacion tardia sobre una afectacion permitio que insectos dañaran la plantacion;LATENCIA_VERIFICACION;Deteccion de afectaciones;;ENTR-11;AVR
Para conocer lo realizado anteriormente se recurre al administrador con experiencia;HISTORIAL_LOTE;Reportes;RF-20;ENTR-11;AVR
Para decidir se considera util disponer de una fotografia y un informe;EVIDENCIA_FOTOGRAFICA;Deteccion de afectaciones;RF-30;ENTR-11;AVR
Una alerta de plaga debe incluir evidencia visual y confirmarse en campo;VERIFICACION_DIAGNOSTICO;Tecnologia;RNF-16;ENTR-11;AVR
Un error de la aplicacion puede llevar al usuario a recurrir a otro metodo;CONFIANZA_DIAGNOSTICO;Tecnologia;RNF-16;ENTR-11;AVR
El registro GPS del recorrido del personal se considera aceptable;SUPERVISION_RECORRIDO;Organizacion del trabajo;RF-15;ENTR-11;AVR
La capacitacion inicial para alguien sin experiencia se estima en alrededor de una hora;CAPACITACION_USO;Tecnologia;RNF-08;ENTR-11;AVR
La primera interfaz debe explicar el funcionamiento y el beneficio de la herramienta;INTERFAZ_SIMPLE;Tecnologia;RNF-08;ENTR-11;AVR
Los avisos importantes se prefieren acompañados de una fotografia;EVIDENCIA_FOTOGRAFICA;Deteccion de afectaciones;RF-30;ENTR-11;AVR
Una herramienta que no ayuda a organizar al personal puede ser abandonada;RESISTENCIA_CAMBIO;Tecnologia;RNF-08;ENTR-11;AVR
El usuario prefiere recibir una explicacion antes de empezar a utilizar la aplicacion;TUTORIAL_GUIADO;Tecnologia;RNF-08;ENTR-11;AVR
