evaluador,requisito,origen,id_original,dimension,puntuacion,orden
EV-01,R-001,LLM,LLM-017,COM,4,1
EV-01,R-001,LLM,LLM-017,AMB,4,1
EV-01,R-001,LLM,LLM-017,VER,4,1
EV-01,R-001,LLM,LLM-017,COR,4,1
EV-01,R-001,LLM,LLM-017,CON,4,1
EV-01,R-002,Humano,H-007,COM,5,2
EV-01,R-002,Humano,H-007,AMB,4,2
EV-01,R-002,Humano,H-007,VER,5,2
EV-01,R-002,Humano,H-007,COR,4,2
EV-01,R-002,Humano,H-007,CON,5,2
EV-01,R-003,Humano,H-010,COM,3,3
EV-01,R-003,Humano,H-010,AMB,3,3
EV-01,R-003,Humano,H-010,VER,4,3
EV-01,R-003,Humano,H-010,COR,3,3
EV-01,R-003,Humano,H-010,CON,3,3
EV-01,R-004,Humano,H-009,COM,4,4
EV-01,R-004,Humano,H-009,AMB,4,4
EV-01,R-004,Humano,H-009,VER,4,4
EV-01,R-004,Humano,H-009,COR,5,4
EV-01,R-004,Humano,H-009,CON,4,4
EV-01,R-005,Humano,H-001,COM,5,5
EV-01,R-005,Humano,H-001,AMB,5,5
EV-01,R-005,Humano,H-001,VER,5,5
EV-01,R-005,Humano,H-001,COR,5,5
EV-01,R-005,Humano,H-001,CON,5,5
EV-01,R-006,LLM,LLM-023,COM,4,6
EV-01,R-006,LLM,LLM-023,AMB,4,6
EV-01,R-006,LLM,LLM-023,VER,4,6
EV-01,R-006,LLM,LLM-023,COR,4,6
EV-01,R-006,LLM,LLM-023,CON,4,6
EV-01,R-007,Humano,H-021,COM,5,7
EV-01,R-007,Humano,H-021,AMB,5,7
EV-01,R-007,Humano,H-021,VER,4,7
EV-01,R-007,Humano,H-021,COR,5,7
EV-01,R-007,Humano,H-021,CON,5,7
EV-01,R-008,Humano,H-020,COM,3,8
EV-01,R-008,Humano,H-020,AMB,4,8
EV-01,R-008,Humano,H-020,VER,3,8
EV-01,R-008,Humano,H-020,COR,4,8
EV-01,R-008,Humano,H-020,CON,3,8
EV-01,R-009,LLM,LLM-016,COM,4,9
EV-01,R-009,LLM,LLM-016,AMB,4,9
EV-01,R-009,LLM,LLM-016,VER,5,9
EV-01,R-009,LLM,LLM-016,COR,4,9
EV-01,R-009,LLM,LLM-016,CON,4,9
EV-01,R-010,LLM,LLM-005,COM,5,10
EV-01,R-010,LLM,LLM-005,AMB,5,10
EV-01,R-010,LLM,LLM-005,VER,5,10
EV-01,R-010,LLM,LLM-005,COR,5,10
EV-01,R-010,LLM,LLM-005,CON,5,10
EV-01,R-011,Humano,H-025,COM,4,11
EV-01,R-011,Humano,H-025,AMB,4,11
EV-01,R-011,Humano,H-025,VER,4,11
EV-01,R-011,Humano,H-025,COR,4,11
EV-01,R-011,Humano,H-025,CON,4,11
EV-01,R-012,LLM,LLM-022,COM,3,12
EV-01,R-012,LLM,LLM-022,AMB,3,12
EV-01,R-012,LLM,LLM-022,VER,3,12
EV-01,R-012,LLM,LLM-022,COR,3,12
EV-01,R-012,LLM,LLM-022,CON,3,12
EV-01,R-013,LLM,LLM-013,COM,5,13
EV-01,R-013,LLM,LLM-013,AMB,5,13
EV-01,R-013,LLM,LLM-013,VER,5,13
EV-01,R-013,LLM,LLM-013,COR,5,13
EV-01,R-013,LLM,LLM-013,CON,5,13
EV-01,R-014,Humano,H-012,COM,4,14
EV-01,R-014,Humano,H-012,AMB,4,14
EV-01,R-014,Humano,H-012,VER,4,14
EV-01,R-014,Humano,H-012,COR,4,14
EV-01,R-014,Humano,H-012,CON,4,14
EV-01,R-015,Humano,H-024,COM,5,15
EV-01,R-015,Humano,H-024,AMB,5,15
EV-01,R-015,Humano,H-024,VER,5,15
EV-01,R-015,Humano,H-024,COR,5,15
EV-01,R-015,Humano,H-024,CON,5,15
EV-01,R-016,Humano,H-011,COM,4,16
