dimension,evaluador_a,evaluador_b,kappa_ponderado_cuadratico,ic95_inferior,ic95_superior,n_requisitos
COM,EV-01,EV-02,-0.044444,-0.279070,0.183023,50
COM,EV-01,EV-03,0.285714,-0.078289,0.490449,50
COM,EV-02,EV-03,-0.023256,-0.254848,0.204270,50
AMB,EV-01,EV-02,-0.009174,-0.248515,0.213715,50
AMB,EV-01,EV-03,0.259259,-0.098975,0.460210,50
AMB,EV-02,EV-03,0.035088,-0.177189,0.273146,50
VER,EV-01,EV-02,-0.023256,-0.241763,0.211432,50
VER,EV-01,EV-03,0.297044,-0.052385,0.494210,50
VER,EV-02,EV-03,0.042553,-0.195127,0.268308,50
COR,EV-01,EV-02,0.023256,-0.208802,0.248705,50
COR,EV-01,EV-03,0.247555,-0.107754,0.460665,50
COR,EV-02,EV-03,-0.023256,-0.251253,0.204195,50
CON,EV-01,EV-02,-0.044444,-0.290977,0.185342,50
CON,EV-01,EV-03,0.285714,-0.050420,0.482349,50
CON,EV-02,EV-03,-0.023256,-0.253840,0.212963,50
