"dimension","origen","n_observaciones","n_requisitos","media","mediana","desviacion_tipica","q1","q3","iqr"
"COM","Humano",75,25,4.36,4,0.650156,4,5,1
"COM","LLM",75,25,4.253333,4,0.718356,4,5,1
"AMB","Humano",75,25,4.36,4,0.650156,4,5,1
"AMB","LLM",75,25,4.253333,4,0.718356,4,5,1
"VER","Humano",75,25,4.346667,4,0.6471,4,5,1
"VER","LLM",75,25,4.24,4,0.732268,4,5,1
"COR","Humano",75,25,4.373333,4,0.631885,4,5,1
"COR","LLM",75,25,4.253333,4,0.718356,4,5,1
"CON","Humano",75,25,4.36,4,0.650156,4,5,1
"CON","LLM",75,25,4.253333,4,0.718356,4,5,1
