ID,Hora de inicio,Hora de finalización,Comentarios del cuestionario,¿Qué labor realiza principalmente?,Comentarios: ¿Qué labor realiza principalmente?,¿Cuántos años de experiencia tiene en el cultivo de palma? ,Comentarios: ¿Cuántos años de experiencia tiene en el cultivo de palma? ,¿Cómo se registra hoy lo que usted realiza en el día?,Comentarios: ¿Cómo se registra hoy lo que usted realiza en el día?,¿Cuál es la mayor dificultad en su trabajo diario?,Comentarios: ¿Cuál es la mayor dificultad en su trabajo diario?,¿Con qué frecuencia observa plagas o enfermedades en las palmas? ,Comentarios: ¿Con qué frecuencia observa plagas o enfermedades en las palmas? ,¿Usa teléfono inteligente (smartphone)?,Comentarios: ¿Usa teléfono inteligente (smartphone)?,¿Qué tan cómodo se siente usando aplicaciones en el teléfono? (escala 1 a 5) 1 = Nada cómodo  →  5 = Muy cómodo,Comentarios: ¿Qué tan cómodo se siente usando aplicaciones en el teléfono? (escala 1 a 5) 1 = Nada cómodo  →  5 = Muy cómodo,¿Hay señal de internet en las zonas donde usted trabaja?,Comentarios: ¿Hay señal de internet en las zonas donde usted trabaja?,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la palma y que la app le indique si tiene una plaga o enfermedad y qué...","Comentarios: Para cada función, indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la palma y que la app le indique si tiene una plaga o enfermedad y qué...",Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la hoja y que la app le indique si a la planta le falta algún nutriente. ,Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la hoja y que la app le indique si a la planta le falta algún nutriente. ,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)","Comentarios: Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)","Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ","Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo,Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo, ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,Comentarios:  ¿Le preocuparía que la aplicación registre por GPS su recorrido durante la jornada? ,"Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?","Comentarios: Si la aplicación fuera fácil de usar y estuviera en español, ¿la usaría en su trabajo?"
1,2026-06-30 19:51:58,2026-06-30 19:53:31,,Polinización,,De 1 a 5 años,,No se registra,,Llevar la cuenta de lo que realizo;,,A veces,,si,,4,,Casi nunca,,5,,5,,4,,4,,5,,No me preocupa,,Sí,
2,2026-06-30 20:00:47,2026-06-30 20:01:49,,Polinización,,Menos de 1 año,,En papel,,Detectar plagas o enfermedades a tiempo;,,Rara vez,,no,,3,,Casi nunca,,4,,3,,3,,4,,3,,No me preocupa,,Sí,
3,2026-06-30 20:58:50,2026-06-30 21:00:38,,"Labores de mantenimiento (chapía, corona, poda)",,Más de 10 años,,En papel,,El clima;,,Rara vez,,si,,3,,A veces,,5,,5,,5,,5,,4,,Me preocupa un poco,,Sí,
4,2026-06-30 20:59:04,2026-06-30 21:00:42,,"Labores de mantenimiento (chapía, corona, poda)",,De 1 a 5 años,,En papel,,Llevar la cuenta de lo que realizo;La comunicación con el administrador;,,Frecuentemente,,si,, 5,,A veces,,5,,5,,5,,5,,5,,No me preocupa,,Sí,
5,2026-08-01 20:12:03,2026-08-01 20:13:57,,Control fitosanitario (plagas y enfermedades),,De 1 a 5 años,,En papel,,Saber qué producto aplicar;,,A veces,,no,,4,,A veces,,3,,3,,3,,3,,3,,No me preocupa,,Sí,
6,2026-08-01 20:14:01,2026-08-01 20:14:32,,Control fitosanitario (plagas y enfermedades),,De 6 a 10 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,A veces,,si,, 5,,A veces,,3,,3,,3,,3,,3,,No me preocupa,,Sí,
7,2026-08-01 20:14:33,2026-08-01 20:17:19,,"Labores de mantenimiento (chapía, corona, poda)",,De 1 a 5 años,,El administrador lo anota,,Saber qué producto aplicar;,,Rara vez,,si,,4,,A veces,,3,,2,,4,,4,,4,,No me preocupa,,Sí,
8,2026-08-01 20:41:19,2026-08-01 20:42:01,,Polinización,,De 1 a 5 años,,En papel,,Detectar plagas o enfermedades a tiempo;,,Frecuentemente,,si,,4,,A veces,,5,,5,,4,,5,,5,,Me preocupa un poco,,Sí,
9,2026-08-01 20:42:13,2026-08-01 20:43:00,,Control fitosanitario (plagas y enfermedades),,De 6 a 10 años,,En papel,,Saber qué producto aplicar;,,Muy frecuentemente,,si,,3,,A veces,,5,,4,,4,,4,,5,,No me preocupa,,Sí,
10,2026-08-01 20:43:02,2026-08-01 20:44:07,,"Labores de mantenimiento (chapía, corona, poda)",,Más de 10 años,,El administrador lo anota,,El clima;,,A veces,,no,,1,,Casi nunca,,4,,3,,2,,3,,4,,No me preocupa,,Tal vez,
11,2026-08-01 20:44:10,2026-08-01 20:44:51,,Riego,,De 1 a 5 años,,No se registra,,La comunicación con el administrador;,,Rara vez,,si,, 5,,Siempre,,5,,5,,5,,4,,5,,Me preocupa un poco,,Sí,
12,2026-08-01 20:45:18,2026-08-01 20:45:54,,Polinización,,De 6 a 10 años,,En papel,,Llevar la cuenta de lo que realizo;,,A veces,,si,,4,,A veces,,4,,4,,5,,5,,4,,No me preocupa,,Sí,
